"Type","Date","Name / Number","Sender","Content"
"Received","Sep 1, 2025 1:07:49 PM","Bo Cong an","Bo Cong an","[TB] Hướng dẫn nhận quà tặng 2/9
Theo Nghị quyết 263/NQ-CP ngày 29/8/2025 của Chính phủ, ""chủ hộ"" gia đình thực hiện tích hợp tài khoản an sinh trên ứng dụng VNeID để nhận tiền cho thành viên trong hộ gia đình thuận tiện; trường hợp chưa có tài khoản sẽ nhận trực tiếp tiền tại điểm chi trả do địa phương tổ chức bảo đảm kịp thời, an toàn, hiệu quả.
Bước 1: Mở ứng dụng VNeID (phiên bản mới nhất) và đăng nhập.
Bước 2: Chọn An sinh xã hội  -> Tài khoản hưởng an sinh xã hội.
Bước 3:, Chọn ngân hàng/ ví điện tử/ Mobile money liên kết.
Bước 4: Kiểm tra lại thông tin cá nhân và số tài khoản.
Bước 5: Xác nhận -> Gửi yêu cầu thành công.
Lưu ý: Đối với các dấu hiệu lừa đảo, người dân có thể báo ngay Công an nơi gần nhất hoặc phản ánh, tố giác trên VNeID."
"Received","Sep 1, 2025 11:20:37 AM","NAPTHE-VNP","NAPTHE-VNP","(TB) Tự hào cùng đồng bào cả nước mừng Đại Lễ 80 năm Quốc khánh 2/9, VinaPhone tặng Quý khách 20% giá trị khi nạp thẻ vào NGÀY MAI 02/9/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. CSKH: 18001091 (0đ). Trân trọng!"
"Received","Aug 31, 2025 8:19:34 PM","900","900","Tai khoan cua Quy khach da duoc nap 10,000d tu 373090 vao 31/08/2025 20:19:32. Ma giao dich 2362130789. Chi tiet lien he CSKH 18001091 (0d). Tran trong cam on!"
"Received","Aug 31, 2025 7:42:01 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/8. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Aug 30, 2025 8:50:23 PM","MOMO","MOMO","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/8. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Aug 29, 2025 7:05:55 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/8. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Aug 28, 2025 7:30:08 PM","MOMO","MOMO","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/8. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Aug 27, 2025 7:27:38 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/8. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Aug 26, 2025 7:12:12 PM","MOMO","MOMO","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/8. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Aug 24, 2025 2:59:38 PM","MyVNPT","MyVNPT","389584 la ma xac thuc OTP tren MyVNPT cua Quy khach. Ma co hieu luc trong 2 phut. De dam bao an toan, Quy khach vui long khong chia se ma nay voi bat ky ai."
"Received","Aug 20, 2025 9:01:47 PM","888","888","Quy khach da huy goi D6V thanh cong. Moi Quy khach tham khao cac goi cuoc SIEU UU DAI tren ung dung MyVNPT https://my.vnpt.com.vn/adv/muagoicuoc . CSKH: 18001091(0d)."
"Sent","Aug 20, 2025 9:01:42 PM","888","","HUY D6V Y"
"Received","Aug 20, 2025 7:06:44 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/8. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
